"name","institution"
"Jane Wardle","Health Behaviour Research Centre, Department of Epidemiology and Public Health"
"Hervé Caci","2Hôpitaux Pédiatrique de Nice–CHU Lenval, France"
"Unsal Sigri","Department of Sport Management, Baskent University, Ankara, Turkey"
"C.M. Chiejine","University of Benin"
"Eduardo Valenzuela Carvallo","University of Chile"
"Andrew Callaway","Bournemouth University"
"Ahmad Esmaillzadeh","Tehran University of Medical Sciences"
"Matthias Sutter","U0niversity of Cologne, University of Innsbruck, CESifo Munich and IZA Bonn"
"Mohammad Hesam Jahanmiri","Islamic Azad University"
"Dan Su","Department of Educational Psychology, University of Wisconsin-Madison, Madison, WI, USA"
"Aditi Sharma","Department of Public Health Dentistry, Surendera Dental College and Research Institute, Sri Ganganagar, Rajasthan, India"
"Nataly Agudelo","Catholic University of Pereira"
"Ulrich Wagner","Universität Mannheim"
"Angelo Sabatini","The BioRobotics Institute, Scuola Superiore Sant’Anna, Pisa, Italy"
"J. Savulescu","Oxford Uehiro Centre for Practical Ethics, University of Oxford, Suite 8, Littlegate House, St Ebbes St, Oxford, OX1 1PT, UK"
"E Geoffrey Playford","Griffith University"
"Appa Gangolu","Indian Institute of Technology Madras"
"Thomas Efferth","University of Mainz"
"Yishan Li","Beijing Normal University"
"Henrik Friis","University of Copenhagen"
"Salma Mouline","Mohammed V University"
"Yves Le Fur","Centre des Sciences du Goût et de l'Alimentation (CSGA)"
"P Mukilan","Debre Berhan University"
"Ingrid Farreras","Hood College"
"Davoud Shojaeizadeh","Tehran University of Medical Sciences"
"Amit Acharya","Marshfield Clinic Research Institute, Marshfield, WI, US"
"Lars Johan Materstvedt","Department of Philosophy and Religious Studies, Faculty of Humanities, Norwegian University of Science and Technology (NTNU), Trondheim, Norway"
"Zohreh Sepehri Shamloo","Mashhad Ferdowsi UniversityMashhadIran"
"Pankaj Sharma","National University"
"Angel Rollon-Mayardormo","Virgin Macarena University"
"Jasmin Tiro","University of Texas Southwestern Medical Center"
"Jeffrey Hallam","Kent State University"
"Joseph Varghese","MOSC Medical College, Kolenchery, Kerala"
"Pablo Vallejo Medina","Universitaria Konrad Lorenz, Bogotá"
"Joachim K. Winter","University of Munich"
"Richard Van Horn","University of Oklahoma"
"Sheng Ji Tang","School of Electrical and Electronic Engineering , The University of Manchester"
"Irene Fernández","Universidad de Valencia (Spain)"
"Nawel Helali","Laboratory of Natural Water Treatment Center of Researches and Water Technologies Soliman Tunisia"
"Lea Skorin-Kapov","Faculty of Electrical Engineering and ComputingUniversity of Zagreb, Zagreb, Croatia"
"J. Louviere","University of Utah"
"Thomas Effertha","Institute of Pharmacy and Biochemistry, University of Mainz"
"Miriam Henz","Faculdade SENACRS"
"Joop Schippers","Utrecht University School of Economics, Utrecht University"
"Sophie Lecheler","Political Communication, Amsterdam School of Communication Research, University of Amsterdam, The Netherlands."
"Megan Adkins","University of Kansas"
"A.E. STEPAN","University of Medicine and Pharmacy of Craiova"
"Juan Marin-Garcia","Universitat Politècnica de Catalunya (UPC)"
"Guo-Hao Huang","Feng Chia University"
"Pedro Veiga","Polytechnic Institute of Viseu"
"Evgeniy Terentev","University Higher School of Economics (HSE), Moscow"
"Dopsaj Milivoj","University of Belgrade, Faculty of Sports and Physical Education"
"Stefania Troiano","University of Udine"
"Nora Moscoloni","Programa Interdisciplinario de Análisis de Datos, Instituto Rosarino de investigación en Ciencias de la Educación, CONICET y Universidad Nacional de Rosario, Rosario, Argentina"
"Caroline Sanders","Centre for Primary Care, University of Manchester, Manchester, UK"
"Tor Korneliussen","Nord University, Bodø, Norway"
"Nagabhusan Mudili","Almanhal"
"Martin Huschens","Johannes Gutenberg-Universität Mainz | JGU · Gutenberg School of Management & Economics"
"Jürgen Meyerhoff","Technische Universität Berlin, Institute for Landscape and Environmental Planning, Straße des 17.Juni 145, D−10623 Berlin, Germany"
"Lauren Apgar","Department of Sociology, Indiana University"
"Constanze Leineweber","Stockholm University"
"Peter Kotzian","Heinrich Heine University Düsseldorf"
"J.M. Calvo-Vecino","Complutense University of Madrid"
"Juan Sierra","Mind, Brain, and Behavior Research Center, Universidad de Granada, Spain"
"David Hinds","Real World Evidence & Epidemiology, GlaxoSmithKline"
"Didier Pittet","University of Geneva"
