"name","institution","delete"
"Mohammad Karamouzian","School of Population and Public Health, Faculty of Medicine, University of British Columbia, Vancouver, BC, Canada.",""
"Sergiu Ivanov","Faculty of Medicine of Grenoble",""
"Carmen Cecilia","University of Magdalena",""
"Matthias Greiff","Management, Micro-Economics",""
"Rebeca Aritio-Solana","Universidad de La Rioja",""
"Marilyn Milovich","Missouri Valley College",""
"Nilufer Subasi Tekintas","Marmara University",""
"Tauha Ali","Mehran University of Engineering & Technology",""
"Vimal Shenoy","Northeast Ohio Medical University",""
"Elena Gorinova","International Laboratory of Social and Cultural Researchings, National Research University “Higher School of Economics”",""
"Anthony Igboanugo, A.C.","University of Benin",""
"Ku Aziliah Ku Mahamad","Universiti Teknologi MARA",""
"A Ranta","University of Otago",""
"Mark Kotter","University of Cambridge",""
"José Espada","Universidad Miguel Hernández",""
"Mark D. Griffiths","Department of Psychology, Nottingham Trent University, Nottingham,UK",""
"KM Sudhir","Narayana Dental College and Hospital, Nellore, Andhra Pradesh, India",""
"Single Single","Single",""
"Ana Lucia-Casademunt","Universidad Loyola Andalucía",""
"Dustin Gibson","Johns Hopkins Bloomberg School of Public Health",""
"Mohammad Jahanmiri","Islamic Azad University",""
"Colin M Dayan","University of Bristol",""
"Lawrence I.G","Department of Food Technology, The Federal Polytechnic, Offa, Ogun State, Nigeria.",""
"Andrew McGrath","Saint Louis University",""
"Pedro Veiga","Research Unit in Business Sciences – NECE, University of Beira Interior, Covilhã, Portugal",""
"Holly O Witteman","Laval University, Quebec City, QC, Canada",""
"Annette Jäckle","University of Essex",""
"Natasha C. Johnson","School of Social Work and Department of Psychology, University of Michigan",""
"Jane Wang","Regenstrief Institute",""
"Silke Schmidt","University Greifswald",""
"Line Guénette","1Faculty of Pharmacy, Laval University, Quebec City, QC, Canada2Population Health and Optimal Health Practices Research Unit, CHU de Québec - Université Laval Research Centre, Quebec City, QC, Canada3Chair on adherence to treatments, Laval University, Quebec City, QC, Canada",""
"Loredana Sasso","University of Genoa",""
"Puja Sravanthi","Vignan Pharmacy College",""
"Xiaoguang Yang","Chinese Center for Disease Control and Prevention",""
"B. Babu","RV College of Engineering",""
"K. Kolar Stephanie","Johns Hopkins University Press",""
"Frederick L.Altice","University Malaya, Centre of Excellence for Research in AIDS (CERiA), Kuala Lumpur, Malaysia",""
"Olga Perski","University College London",""
"Yousef Mahdavi","Dr. Ambedkar Government Arts College",""
"Shirley Rietdyk","Department of Health and Kinesiology, Purdue University",""
"Mor Naaman","Stanford University",""
"Maria Nunes","Portuguese Institute for the Sea and Atmosphere (IPMA)",""
"Mehdi Zare","Medicinal and Natural Products Chemistry Research Center (MNCRC), Shiraz University of Medical Sciences, Shiraz, Iran",""
"S.J. Haslett","Institute of Fundamental Sciences - Statistics, College of Sciences Massey University Palmerston North New Zealand",""
"Richard Sawatzky","Trinity Western University",""
"Tieqiao Liu","Central South University",""
"Ferry Koster","TIAS School for Business and Society, Tilburg",""
"Lim Yeong","University Tunku Abdul Rahman",""
"Yew-Soon Ong","Nanyang Technological University",""
"Michael K. Paasche-Orlow","Boston Medical Center",""
"Jordi Tamayo","National Library of Spain",""
"Paulo Sampaio","University of Minho",""
"Jorge E. Esteves","Instituto Piaget, VN Gaia School of Health Care",""
"Dirk Baier","Zurich University of Applied Sciences, Switzerland",""
"Reddy Sasiragha Priscilla","University of Western Cape",""
"Nathalie Bier","Université de Montréal",""
"Damla Gökşen","Ege University",""
"Paula A Misiewicz","American Society of Agricultural and Biological Engineers",""
"Mike Huang","University of California",""
"GOMATHI SHAMUGANATHAN","HELP University",""
"Alain Lacroux","University of Toulon",""
"François Bavaud","University of Lausanne",""
"Joseph Pfaller","The University of Iowa",""
"Bai-Chen Xie","College of Management and Economics, Tianjin University, Tianjin 300072, China APEC Sustainable Energy Center, Tianjin University, Tianjin 300072, China",""
"Shitong Wang","School of Digital Media, Jiangnan University, Wuxi, Jiangsu, PR China",""
"Margaret Sheridan","University of North Carolina at Chapel Hill, Clinical Psychology, United States",""
"Jonas Pontusson","University of Geneva",""
"Peter Goos","The Implementation of Social Policy: A Factorial Survey Approach,"" Working Papers 1706, Herman Deleeck Centre for Social Policy, University of Antwerp.",""
"Mitch Blair","Imperial College of Science, Technology and Medicine",""
"Juan Marin","Universitat Politècnica de Catalunya",""
"J. Sharman","University of Cambridge",""
"Gregg G Van Ryzin","Rutgers University, Newark",""
"John Dziak","The Pennsylvania State University",""
"Rosemary Purcell","University of Melbourne",""
"Gihan Abeywardena","Teaching Hospital-Kandy",""
"Loreto Martínez","Universidad Católica de Chile",""
"Rosario Ortega-Ruiz","Universidad de Córdoba",""
"Shikha Kapoor","Amity University",""
"Gonzalo Ruiz-Sánchez","Universidad a Distancia de Madrid",""
"E. G. Prilepkina","Far Eastern Federal University and Institute of Applied Mathematics of the FEBRAS, Vladivostok, Russia",""
"Edward McAuley","University of Illinois at Urbana-Champaign",""
"Truc Thai","Ho Chi Minh City University of Medicine and Pharmacy",""
"Barton Moffatt","Mississippi State University",""
"Larissa Rabbiosi","ESCP",""
"Choobchian Shahlla","Tarbiat Modares University",""
